funding_total_usd,country_code,city,funding_rounds
650000.0,NorthAm,Lake Mary,1.0
760000.0,NorthAm,Olathe,1.0
1495000.0,NorthAm,Cumming,2.0
1000000.0,NorthAm,San Diego,1.0
6700000.0,NorthAm,San Diego,1.0
110640466.0,NorthAm,San Diego,9.0
12050000.0,EU,Stockholm,4.0
8033458.0,EU,Basingstoke,1.0
6321095.0,EU,Forres,1.0
2500000.0,NorthAm,Chicago,1.0
67000000.0,NorthAm,Charlotte,4.0
4277507.0,NorthAm,Westminster,2.0
2100000.0,NorthAm,Concord,1.0
32655000.0,NorthAm,Ann Arbor,8.0
329695.0,EU,Worcester,1.0
15000000.0,EU,Dublin,1.0
25000.0,NorthAm,Tampa,1.0
200000.0,NorthAm,Ann Arbor,1.0
195858.0,EU,London,1.0
8198838.0,NorthAm,Denver,4.0
30500000.0,NorthAm,Huntington Station,2.0
25000.0,NorthAm,Austin,1.0
1245092.0,NorthAm,Pittsburgh,3.0
3715000.0,Other,Lagos,2.0
5000000.0,NorthAm,Gaithersburg,1.0
145562.0,EU,Dublin,2.0
24980307.0,NorthAm,El Segundo,6.0
75000.0,NorthAm,New York,1.0
30000000.0,NorthAm,San Diego,1.0
4700000.0,NorthAm,Austin,2.0
4000000.0,NorthAm,New York,1.0
8700000.0,NorthAm,Columbia,1.0
93654902.0,NorthAm,Redwood City,5.0
2090000.0,NorthAm,San Francisco,1.0
150594138.0,Other,Taipei,1.0
2100000.0,NorthAm,Cambridge,1.0
600000.0,NorthAm,St Louis,1.0
